empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Nubank,SP,Mogi das Cruzes,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-12,Não Avaliada,,2026,1
Google,SP,Santana de Parnaíba,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Dificuldade para alterar/ ativar serviços,2026-01-04,Não Avaliada,,2026,1
Caixa Econômica Federal,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Informações incompletas / inadequadas sobre o serviço,2026-03-02,Não Avaliada,,2026,3
Ativos S.A,PI,Teresina,Empresas de Recuperação de Crédito,Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança de compra/saque não reconhecido,2026-01-06,Não Avaliada,,2026,1
Mercado Pago,SC,Brusque,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-17,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-13,Não Avaliada,,2026,1
Mercado Livre,SP,Santo André,Empresas de Intermediação de Serviços / Negócios,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-03-16,Não Avaliada,,2026,3
Sicredi,RS,Porto Alegre,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Reajuste - Discordância / dúvida,2026-01-03,Não Avaliada,,2026,1
Jequiti Cosméticos,AM,Manaus,"Perfumaria, Cosméticos e Higiene Pessoal",Demais Produtos,"Perfumaria, cosméticos e higiene pessoal","Negativação indevida (SPC, Serasa, SCPC etc)",2026-03-18,Não Resolvida,1.0,2026,3
Eudora (Interbelle),CE,Fortaleza,"Perfumaria, Cosméticos e Higiene Pessoal",Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-08,Não Avaliada,,2026,1
Banco Master (antigo Banco Máxima),PA,Dom Eliseu,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-07,Não Avaliada,,2026,1
Faculdade Anhanguera,CE,Sobral,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-14,Não Avaliada,,2026,1
Amazon.com.br,BA,Salvador,Comércio Eletrônico,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)","Falta de clareza / transparência no uso dos dados pessoais ou financeiros (falta de informação sobre a finalidade, período de armazenamento ou compartilhamento)",2026-01-20,Não Resolvida,1.0,2026,1
Banco Bradesco,SP,Santos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Negativação indevida referente à pagamento já efetuado,2026-01-14,Não Avaliada,,2026,1
Nubank,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-10,Não Avaliada,,2026,1
Caixa Econômica Federal,MT,Rondonópolis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-13,Não Avaliada,,2026,1
Allianz Seguros,MS,Sonora,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-13,Não Avaliada,,2026,1
C&A Pay,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-14,Não Avaliada,,2026,1
Banco Itaú Unibanco,AM,Manaus,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-03-11,Não Avaliada,,2026,3
Nubank,CE,Fortaleza,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-13,Não Avaliada,,2026,1
Banco Bmg,RS,Novo Hamburgo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-11,Não Avaliada,,2026,1
Banco Bradesco,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-08,Não Avaliada,,2026,1
Banco Bmg,SP,Franca,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Seguro Prestamista,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-28,Não Avaliada,,2026,1
Gol Linhas Aéreas,SP,Mauá,Transporte Aéreo,Transportes,Aéreo,Cancelamento de voo,2026-01-06,Não Avaliada,,2026,1
Azul Linhas Aéreas,SC,Blumenau,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-01-08,Não Avaliada,,2026,1
Vivo - Telefônica,SP,Charqueada,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-02,Resolvida,5.0,2026,1
Banco Pan,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-02-05,Não Resolvida,1.0,2026,2
Equatorial Maranhão (CEMAR),MA,Imperatriz,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por serviços não realizados / atrasados ou por consumo elevado,2026-01-09,Não Avaliada,,2026,1
Shopee Brasil,AL,Santa Luzia do Norte,Comércio Eletrônico,Produtos de Telefonia e Informática,Tablet,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-02-20,Não Avaliada,,2026,2
Serasa Experian,SP,São Roque,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dificuldade de contato / demora no atendimento,2026-01-02,Não Avaliada,,2026,1
Capital Consig,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-03,Resolvida,3.0,2026,3
Energisa Mato Grosso,MT,Cuiabá,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Risco, dano físico ou mal estar decorrente da prestação do serviço (poste/rede em mau estado, quedas de energia, flutuação/oscilação do nível de tensão etc)",2026-01-11,Não Resolvida,1.0,2026,1
Vivo - Telefônica,SC,Palhoça,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-14,Não Avaliada,,2026,1
Livelo,PE,Recife,Programas de Fidelidade,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-11,Não Resolvida,1.0,2026,1
Nubank,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-12,Não Avaliada,,2026,1
Banco BRP,SC,Blumenau,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Banco C6 Consignado (Banco Ficsa),BA,Cruz das Almas,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-09,,,2026,1
ShopeePay,PI,Parnaíba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Falta de clareza / transparência no uso dos dados pessoais ou financeiros (falta de informação sobre a finalidade, período de armazenamento ou compartilhamento)",2026-01-14,Não Avaliada,,2026,1
Banco Inter (Banco Intermedium),MT,Cuiabá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-05,Não Resolvida,1.0,2026,1
EDP Espírito Santo,ES,Anchieta,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Interrupção/instabilidade do fornecimento (falta de energia frequente, flutuação/oscilação do nível de tensão)",2026-01-14,Não Avaliada,,2026,1
Banco Pan,SP,Tatuí,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-12,Não Avaliada,,2026,1
Bradesco Saúde,PA,Santarém,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )","Descredenciamento de prestadores (médicos, hospitais, clínicas, laboratórios etc)",2026-03-18,Não Avaliada,,2026,3
Nescafé Dolce Gusto,PR,São José dos Pinhais,Fabricantes - Produtos Alimentícios,Alimentos,Bebidas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-14,Não Resolvida,1.0,2026,1
Vivo - Telefônica,SP,Santo André,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-02,Resolvida,5.0,2026,1
Recovery do Brasil Consultoria,MA,Presidente Sarney,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),SAC - Dificuldade de contato / acesso,2026-01-01,Não Avaliada,,2026,1
Banco Bradesco,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-07,,,2026,1
Embasa,BA,Barreiras,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,2026-03-06,Não Resolvida,1.0,2026,3
Facebook / Instagram,PR,Guarapuava,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Dificuldade de contato / demora no atendimento,2026-01-04,Não Resolvida,1.0,2026,1
Serasa Experian,BA,Salvador,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Banco Agibank (Agiplan),SC,Guaramirim,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-13,Não Resolvida,1.0,2026,1
BrasilCard,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-09,Não Avaliada,,2026,1
Casasbahia.com,SP,Bauru,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-01-21,Não Avaliada,,2026,1
Azul Linhas Aéreas,SP,Limeira,Transporte Aéreo,Transportes,Aéreo,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-04,Resolvida,5.0,2026,1
Recovery do Brasil Consultoria,SP,Piracicaba,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-06,Não Resolvida,1.0,2026,1
Banco Bradesco,SC,Canelinha,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-22,Não Avaliada,,2026,1
Shopee Brasil,SP,Carapicuíba,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-11,Não Avaliada,,2026,1
Multibet,MG,Betim,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Promoções Comerciais,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-13,Não Avaliada,,2026,1
Nubank,RS,Canoas,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,"Clonagem, fraude, furto e roubo",2026-01-09,Não Avaliada,,2026,1
Casasbahia.com,SP,São Paulo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Fogão, microondas, forno elétrico, depurador de ar e coifa",Não entrega / demora na entrega do produto,2026-01-02,Resolvida,2.0,2026,1
Latam Airlines (Tam),SP,Taubaté,Transporte Aéreo,Transportes,Aéreo,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-10,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-03,Não Resolvida,2.0,2026,1
Serasa Experian,PE,Lajedo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-10,Não Avaliada,,2026,1
Uber,SP,São Paulo,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-09,Não Avaliada,,2026,1
Bradesco Financiamentos,RJ,Angra dos Reis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-27,Não Avaliada,,2026,3
Tim,GO,Anápolis,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-08,Resolvida,2.0,2026,1
